CODE,TITLE,l,p,t,j
EEE3001,Control Systems,0,0,0,0
EEE3003,Power System Engineering,0,0,0,0
EEE3004,Power Electronics and Drives,0,0,0,0
CSE1002,Problem Solving and Object Oriented Programming,0,0,0,0
MAT2001,Statistics for Engineers,0,0,0,0
EEE3999,Technical Answers for Real World Problems (TARP),0,0,0,0
MGT1022,Lean Start-Up Management,0,0,0,0
EEE3005,Design Of Electrical Appratus,0,0,0,0
EEE3006,Special Electrical Machines,0,0,0,0
CSE2003,Data Structures and Algorithms,0,0,0,0
CSE3009,Internet of Things,0,0,0,0
MGT1047,Social Marketing,0,0,0,0
MGT1051,Business Analytics for Engineers,0,0,0,0
HUM1023,Indian Heritage and Culture,0,0,0,0
HUM1022,Psychology in Everyday Life,0,0,0,0
CSE3016,Computer Graphics and Multimedia,0,0,0,0
STS2202,Advanced Aptitude and Reasoning Skills,0,0,0,0
ECE1004,Signals and Systems,0,0,0,0
MAT1014,Discrete Mathematics and Graph Theory,0,0,0,0
CSE2005,Operating Systems,0,0,0,0
CSE2006,Microprocessor and Interfacing,0,0,0,0
CSE4019,Image Processing,0,0,0,0
GER1001,Grundstufe Deutsch,0,0,0,0
CSE4004,Digital Forensics,0,0,0,0
ESP1001,Espanyol Fundamental,0,0,0,0
CSE3013,Artificial Intelligence,0,0,0,0
CSE3021,Social and Information Networks,0,0,0,0
CSE3020,Data Visualisation,0,0,0,0
CSE3018,Content Based Image and Video Retrieval,0,0,0,0
CSE3002,Internet and Web Programming,0,0,0,0
CSE4003,Cyber Security,0,0,0,0
CSE3024,Web Mining,0,0,0,0
CSE4027,Mobile Programming,0,0,0,0
ECE2005,Probability Theory and Random Processes,0,0,0,0
ECE3003,Microcontroller and Applications,0,0,0,0
ECE3013,Linear Integrated Circuits,0,0,0,0
MAT3004,Applied Linear Algebra,0,0,0,0
ECM2002,Machine Learning Algorithms,0,0,0,0
STS2101,Getting Started To Skill Enhancement,0,0,0,0
EEE3002,Analog and DIgital Circuits,0,0,0,0
EEE2003,Electromechanical Energy Conversion,0,0,0,0
EEE1005,Signals and Systems,0,0,0,0
EEE2004,Measurements and Instrumentation,0,0,0,0
EEE1020,Engineering Optimization,0,0,0,0
EEE1007,Neural Network and Fuzzy Control,0,0,0,0
EEE1008,Bio Medical Instrumentation,0,0,0,0
STS3301,JAVA for Beginners,0,0,0,0
STS3401,Foundation to Programming Skills,0,0,0,0
EEE4001,Microcontroller and Microprocessor,0,0,0,0
EEE4002,Power System Protection and Switchgear,0,0,0,0
EEE4012,Renewable Energy Sources,0,0,0,0
EEE4005,Power System Operation and Control,0,0,0,0
EEE4017,Industrial Drives and Automation,0,0,0,0
EEE4016,Electric Vehicles,0,0,0,0
EEE4018,Advanced Control Theory,0,0,0,0
EEE4028,VLSI Design,0,0,0,0
EEE4009,FACTS & HVDC,0,0,0,0
EEE4004,Distributed G i eneration and Mi id crogrids,0,0,0,0
EEE4020,Embedded System Design,0,0,0,0
EEE4007,Energy Management and SCADA,0,0,0,0
EEE4010,Power Quality,0,0,0,0
ECE1003,Electromagnetic Field Theory,0,0,0,0
ECE1006,Introduction to Nanoscience and Nanotechnology,0,0,0,0
ECE1007,Optoelectronics,0,0,0,0
ECE2006,Digital Signal Processing,0,0,0,0
ECE4001,Digital Communication Systems,0,0,0,0
ECE3002,VLSI System Design,0,0,0,0
ECE4003,Embedded System Design,0,0,0,0
ECE3011,Microwave Engineering,0,0,0,0
ECE2010,Control Systems,0,0,0,0
ECE3010,Antennas and wave propagation,0,0,0,0
ECE3004,Computer Organization and Architectures,0,0,0,0
ECE4010,Satellite Communication,0,0,0,0
ECE4013,Cryptography and Network Security,0,0,0,0
ECE4007,Information Theory and Coding,0,0,0,0
ECE3009,Neural Networks and Fuzzy Control,0,0,0,0
PHY1999,Introduction to Innovative Projects,0,0,0,0
CSE1003,Digital Logic Design,0,0,0,0
CSE4028,Object Oriented Software Development,0,0,0,0
CSE4022,Natural Language Processing,0,0,0,0
CSE1007,JAVA Programming,0,0,0,0
CSE4011,Virtualization,0,0,0,0
STS3204,JAVA Programming and Software Engineering Fundamentals,0,0,0,0
CSE3999,Technical Answers for Real World Problems (TARP),0,0,0,0
MGT1010,Total Quality Management,0,0,0,0
MGT1052,Bottom of the Pyramid Operations,0,0,0,0
ENG5002,Professional and Communication Skills,0,0,0,0
ECE1005,Sensors and Instrumentation,0,0,0,0
CLE1004,Soil Mechanics and Foundation Engineering,0,0,0,0
CLE1010,Natural Disaster Mitigation and Management,0,0,0,0
CLE1013,Environment Impact Assessment,0,0,0,0
CLE1016,Urban Planning,0,0,0,0
CLE2003,Structural Analysis,0,0,0,0
CLE2004,Water Resource Engineering,0,0,0,0
CLE2005,Transportation Learning,0,0,0,0
CLE2008,Construction Planning and Management,0,0,0,0
CLE2013,Advance Foundation Engineering,0,0,0,0
CLE3999,Technical Answer for Real World Problem(TRAP),0,0,0,0
CSE1001,Problem Solving and Programming,0,0,0,0
MAT2002,Applications of Differential and Difference Equations,0,0,0,0
MGT1024,Organizational Behaviour,0,0,0,0
MGT1040,Personal Financial Planning,0,0,0,0
MGT1036,Principles of Marketing,0,0,0,0
HUM1041,Indian Society Structure and Change,0,0,0,0
HUM1039,Community Development in India,0,0,0,0
CSE3011,Robotics and Applications,0,0,0,0
CHY1002,Environmental sciences,0,0,0,0
CHY1701,Engineering Chemistry,0,0,0,0
CSE3029,Game Programming,0,0,0,0
CSE4015,Human Computer Interaction,0,0,0,0
CSE6005,Machine Learning,0,0,0,0
CSE6016,Information Visualisation,0,0,0,0
CSE6017,MINING MASSIVE DATA,0,0,0,0
CSE6021,Domain Specific Predictive Analysis,0,0,0,0
CSE6037,Deep Learning and Its Applications,0,0,0,0
ITA6019,Game Programming,0,0,0,0
SWE4011,Game Programming,0,0,0,0
SWE4012,Machine Learning,0,0,0,0
EEE1002,Electric Circuits,0,0,0,0
PHY1701,Engineering Physics,0,0,0,0
ENG1901,Technical English - I,0,0,0,0
CSE2004,Database Management Systems,0,0,0,0
EEE1004,Engineering Electromagnetics,0,0,0,0
HUM1043,Mass Media and Society,0,0,0,0
ECM1001,Circuit Theory,0,0,0,0
ECM1002,Analysis of Data Structures and Algorithms,0,0,0,0
ECM4099,Capstone Project,0,0,0,0
FRE1001,Francais Quotidien,0,0,0,0
HUM1021,Ethics and Values,0,0,0,0
MAT3005,Applied Numerical Methods,0,0,0,0
ECM1004,WEB OF THINGS,0,0,0,0
ECM3001,DATA ANALYTICS AND VISUALISATION,0,0,0,0
ECM3002,CLOUD AND DISTRIBUTED COMPUTING,0,0,0,0
MAT3003,COMPLEX VARIABLES AND PARTIAL DIFFERENTIAL EQUATIONS,0,0,0,0
ECE1002,SEMICONDUCTOR DEVICES AND CIRCUITS,0,0,0,0
